,WatchList,Biometrics,Ticket Purchase,Link Analysis,Total
1,0.0,0,0,0.0,0.0
2,20.0,0,0,40.0,17.0
3,54.0,0,100,40.0,57.3
4,41.0,0,100,0.0,43.45
5,0.0,0,0,0.0,0.0
6,34.0,0,75,0.0,34.05
7,20.0,0,0,0.0,9.0
8,0.0,0,0,0.0,0.0
9,20.0,100,0,80.0,55.0
10,20.0,0,75,0.0,27.75
11,0.0,0,75,0.0,18.75
12,20.0,0,0,0.0,9.0
13,41.0,0,75,0.0,37.2
14,20.0,0,0,0.0,9.0
15,41.0,100,75,0.0,67.2
16,0.0,0,0,0.0,0.0
17,21.0,0,0,0.0,9.450000000000001
18,0.0,0,0,0.0,0.0
19,0.0,100,0,0.0,30.0
20,0.0,0,75,0.0,18.75
21,34.0,0,0,0.0,15.3
22,21.0,0,75,0.0,28.200000000000003
23,0.0,0,0,0.0,0.0
24,0.0,0,0,60.0,12.0
25,20.0,0,0,0.0,9.0
26,0.0,0,0,80.0,16.0
27,0.0,100,0,20.0,34.0
28,21.0,0,0,0.0,9.450000000000001
29,0.0,100,75,0.0,48.75
30,21.0,0,0,0.0,9.450000000000001
31,0.0,0,0,0.0,0.0
32,0.0,0,0,0.0,0.0
33,0.0,0,75,20.0,22.75
34,21.0,0,0,0.0,9.450000000000001
35,41.0,0,0,0.0,18.45
36,0.0,0,0,0.0,0.0
37,20.0,0,0,0.0,9.0
38,0.0,0,0,20.0,4.0
39,0.0,0,0,40.0,8.0
40,21.0,0,75,0.0,28.200000000000003
41,71.0,0,0,0.0,31.95
42,34.0,100,75,20.0,68.05
43,0.0,0,0,0.0,0.0
44,0.0,0,0,60.0,12.0
45,0.0,0,0,60.0,12.0
46,20.0,0,0,0.0,9.0
47,0.0,100,75,0.0,48.75
48,0.0,100,75,0.0,48.75
49,20.0,0,0,20.0,13.0
50,67.0,0,0,0.0,30.150000000000002
51,0.0,0,0,0.0,0.0
52,20.0,0,75,0.0,27.75
53,0.0,0,0,0.0,0.0
54,0.0,0,100,0.0,25.0
55,41.0,0,0,0.0,18.45
