,WatchList,Biometrics,Ticket Purchase,Link Analysis,Total
1,0.0,0,0,0.0,0.0
2,0.0,0,100,0.0,25.0
3,51.0,0,0,60.0,34.95
4,20.0,0,0,20.0,13.0
5,51.0,0,0,0.0,22.95
6,20.0,0,75,60.0,39.75
7,0.0,0,0,0.0,0.0
8,0.0,0,0,0.0,0.0
9,0.0,0,100,0.0,25.0
10,0.0,0,100,20.0,29.0
11,0.0,100,0,0.0,30.0
12,0.0,0,75,0.0,18.75
13,0.0,0,0,0.0,0.0
14,55.0,0,100,0.0,49.75
15,0.0,0,0,0.0,0.0
16,0.0,0,0,0.0,0.0
17,0.0,0,0,0.0,0.0
18,0.0,0,0,0.0,0.0
19,0.0,0,75,0.0,18.75
20,0.0,0,100,0.0,25.0
21,0.0,0,100,0.0,25.0
22,67.0,0,0,20.0,34.150000000000006
23,21.0,0,0,0.0,9.450000000000001
24,20.0,0,0,0.0,9.0
25,21.0,0,0,0.0,9.450000000000001
26,20.0,0,0,0.0,9.0
27,51.0,0,0,0.0,22.95
28,20.0,100,100,0.0,64.0
29,20.0,0,100,0.0,34.0
30,0.0,100,0,0.0,30.0
31,0.0,0,100,0.0,25.0
32,71.0,0,100,0.0,56.95
33,41.0,0,0,20.0,22.45
34,54.0,0,75,0.0,43.05
35,0.0,0,75,0.0,18.75
36,0.0,0,0,0.0,0.0
37,21.0,0,0,0.0,9.450000000000001
38,34.0,0,75,0.0,34.05
39,20.0,0,0,0.0,9.0
40,0.0,0,0,0.0,0.0
41,0.0,0,75,40.0,26.75
42,21.0,0,75,20.0,32.2
43,0.0,0,0,0.0,0.0
44,34.0,0,0,60.0,27.3
45,0.0,0,0,0.0,0.0
46,54.0,100,75,0.0,73.05
47,0.0,0,0,0.0,0.0
48,0.0,0,0,0.0,0.0
49,0.0,0,75,0.0,18.75
50,21.0,0,0,0.0,9.450000000000001
51,20.0,0,75,0.0,27.75
52,21.0,0,0,0.0,9.450000000000001
53,20.0,0,0,0.0,9.0
54,0.0,0,0,0.0,0.0
55,34.0,0,75,0.0,34.05
56,0.0,0,0,0.0,0.0
57,20.0,0,0,0.0,9.0
58,0.0,0,0,0.0,0.0
59,51.0,0,0,0.0,22.95
60,0.0,0,0,40.0,8.0
61,20.0,0,100,0.0,34.0
62,20.0,0,0,20.0,13.0
63,0.0,0,75,0.0,18.75
64,21.0,0,75,0.0,28.200000000000003
65,0.0,0,0,0.0,0.0
66,0.0,0,0,60.0,12.0
67,93.1662,0,75,0.0,60.67479
68,0.0,0,0,0.0,0.0
69,54.0,0,75,0.0,43.05
70,0.0,0,0,0.0,0.0
71,51.0,100,0,0.0,52.949999999999996
72,0.0,0,0,0.0,0.0
73,0.0,0,0,40.0,8.0
74,67.0,0,0,0.0,30.150000000000002
75,0.0,0,0,0.0,0.0
76,20.0,0,100,0.0,34.0
77,0.0,0,0,0.0,0.0
78,21.0,0,0,0.0,9.450000000000001
79,20.0,0,75,80.0,43.75
80,0.0,0,0,0.0,0.0
81,0.0,0,75,40.0,26.75
82,20.0,0,100,0.0,34.0
83,41.0,0,0,0.0,18.45
84,0.0,0,0,0.0,0.0
85,20.0,0,0,0.0,9.0
86,20.0,0,0,20.0,13.0
87,0.0,0,0,0.0,0.0
88,20.0,0,75,0.0,27.75
89,34.0,100,0,0.0,45.3
90,0.0,0,0,0.0,0.0
91,0.0,0,75,0.0,18.75
92,0.0,0,0,0.0,0.0
93,41.0,0,0,20.0,22.45
94,0.0,0,0,0.0,0.0
95,0.0,100,100,20.0,59.0
96,0.0,0,0,0.0,0.0
97,20.0,0,75,0.0,27.75
98,20.0,0,0,0.0,9.0
99,20.0,0,75,20.0,31.75
100,0.0,0,0,40.0,8.0
101,54.0,0,0,0.0,24.3
102,0.0,0,75,0.0,18.75
103,0.0,0,75,0.0,18.75
104,0.0,100,0,0.0,30.0
105,0.0,0,0,0.0,0.0
106,0.0,0,75,0.0,18.75
107,0.0,0,0,0.0,0.0
108,0.0,0,75,40.0,26.75
109,67.0,0,0,20.0,34.150000000000006
110,0.0,100,0,0.0,30.0
111,20.0,0,75,0.0,27.75
112,0.0,0,100,0.0,25.0
113,41.0,0,75,0.0,37.2
114,0.0,0,0,0.0,0.0
115,0.0,100,0,0.0,30.0
116,0.0,0,0,40.0,8.0
117,0.0,0,75,0.0,18.75
118,0.0,0,0,0.0,0.0
119,0.0,0,0,0.0,0.0
120,0.0,0,75,60.0,30.75
121,0.0,0,0,40.0,8.0
122,0.0,0,0,0.0,0.0
123,41.0,0,0,0.0,18.45
124,34.0,0,75,0.0,34.05
125,20.0,0,0,40.0,17.0
126,0.0,0,0,0.0,0.0
127,20.0,0,0,0.0,9.0
128,0.0,0,0,0.0,0.0
129,51.0,0,0,0.0,22.95
130,0.0,0,0,40.0,8.0
131,20.0,0,0,0.0,9.0
132,34.0,100,0,0.0,45.3
133,34.0,0,0,0.0,15.3
134,21.0,0,0,0.0,9.450000000000001
135,0.0,0,0,0.0,0.0
136,0.0,100,0,0.0,30.0
137,54.0,0,0,0.0,24.3
138,21.0,0,75,0.0,28.200000000000003
139,0.0,0,0,60.0,12.0
140,51.0,0,75,60.0,53.7
141,0.0,100,75,0.0,48.75
142,0.0,100,0,0.0,30.0
143,0.0,0,0,0.0,0.0
144,0.0,0,0,0.0,0.0
145,0.0,0,0,0.0,0.0
146,41.0,0,0,0.0,18.45
147,20.0,0,0,0.0,9.0
148,21.0,0,0,0.0,9.450000000000001
149,0.0,0,75,40.0,26.75
150,0.0,0,0,0.0,0.0
151,75.0,0,0,40.0,41.75
152,0.0,0,0,0.0,0.0
153,90.54180000000001,0,0,0.0,40.74381
154,67.0,0,75,0.0,48.900000000000006
155,0.0,0,0,0.0,0.0
156,0.0,0,0,20.0,4.0
157,0.0,100,75,0.0,48.75
158,0.0,100,75,60.0,60.75
159,0.0,0,0,60.0,12.0
160,21.0,0,0,0.0,9.450000000000001
161,21.0,0,100,0.0,34.45
162,0.0,0,0,0.0,0.0
163,0.0,0,75,40.0,26.75
164,0.0,0,75,0.0,18.75
165,20.0,0,0,0.0,9.0
166,0.0,0,75,40.0,26.75
167,20.0,0,0,0.0,9.0
168,0.0,0,75,0.0,18.75
169,0.0,0,0,0.0,0.0
170,0.0,0,0,0.0,0.0
171,0.0,0,0,0.0,0.0
172,0.0,100,0,100.0,50.0
173,0.0,0,0,20.0,4.0
174,0.0,0,0,0.0,0.0
175,20.0,0,0,0.0,9.0
176,0.0,0,0,20.0,4.0
177,20.0,100,0,20.0,43.0
178,21.0,0,0,0.0,9.450000000000001
179,34.0,0,0,20.0,19.3
180,34.0,0,0,0.0,15.3
181,0.0,0,0,0.0,0.0
182,0.0,0,0,0.0,0.0
183,0.0,0,75,20.0,22.75
184,0.0,0,0,0.0,0.0
185,0.0,0,0,0.0,0.0
186,0.0,0,75,20.0,22.75
187,21.0,0,0,0.0,9.450000000000001
188,0.0,0,75,0.0,18.75
189,0.0,100,0,0.0,30.0
190,98.01,100,75,0.0,92.8545
191,0.0,0,75,0.0,18.75
192,51.0,0,75,0.0,41.7
193,34.0,0,0,60.0,27.3
194,51.0,0,0,0.0,22.95
195,0.0,0,0,0.0,0.0
196,0.0,0,0,0.0,0.0
197,21.0,0,75,0.0,28.200000000000003
198,0.0,100,0,80.0,46.0
199,20.0,0,0,0.0,9.0
200,20.0,0,100,0.0,34.0
201,0.0,0,0,0.0,0.0
202,71.0,0,0,0.0,31.95
