,International Terrorist Watch List,National Terrorist Watch List,National Law Enforcement,Local Law Enforcement,IRS or other Federal Finance Company,Face Match with Picture DB,Cash Payment Same Day,Immediate Family,Extented Family,Place of Worship,WatchList,Biometrics,Ticket Purchase,Link Analysis,Total
56953,1,0,1,0,0,1,2,0,0,1,90.9,100,100,20,99.905
33257,1,0,0,0,1,1,1,0,1,1,87,100,75,60,99.9
83250,1,0,0,0,1,1,1,1,0,0,87,100,75,60,99.9
83726,1,0,0,0,1,1,1,1,0,0,87,100,75,60,99.9
16483,1,0,1,0,1,1,2,0,0,0,98.01,100,100,0,99.1045
51847,0,1,1,0,0,1,1,1,0,0,85,100,75,60,99
46118,0,1,0,0,1,1,2,1,0,0,71,100,100,60,98.95
98090,1,0,0,1,1,1,2,0,0,0,97.2,100,100,0,98.74
16054,1,1,0,0,0,1,2,0,0,0,95.58,100,100,0,98.011
36727,1,1,0,0,0,1,2,0,0,0,95.58,100,100,0,98.011
92643,1,1,0,0,0,1,2,0,0,0,95.58,100,100,0,98.011
90810,0,1,0,0,0,1,2,1,1,0,51,100,100,100,97.95
68922,0,1,1,1,0,1,2,0,0,0,95.4,100,100,0,97.93
16585,0,1,1,0,0,1,2,0,0,1,85,100,100,20,97.25
219,1,0,0,0,0,1,2,1,0,0,67,100,100,60,97.15
6427,1,0,0,0,0,1,2,1,0,0,67,100,100,60,97.15
59472,1,0,1,0,0,1,2,0,0,0,90.9,100,100,0,95.905
76105,0,1,0,1,0,1,2,0,1,0,72,100,100,40,95.4
37623,0,1,0,0,1,1,2,0,1,0,71,100,100,40,94.95
74822,0,1,0,0,1,1,2,0,1,0,71,100,100,40,94.95
34409,1,0,0,1,0,1,2,0,0,0,88,100,100,0,94.6
47124,1,0,0,1,0,1,2,0,0,0,88,100,100,0,94.6
67258,1,0,0,1,0,1,2,0,0,0,88,100,100,0,94.6
18530,1,0,0,0,1,1,2,0,0,0,87,100,100,0,94.15
41241,0,1,0,1,1,1,1,0,0,1,92,100,75,20,94.15
87631,1,0,0,0,1,1,2,0,0,0,87,100,100,0,94.15
94898,1,0,0,0,1,1,2,0,0,0,87,100,100,0,94.15
